parent_asin,clean_description
B000FH0MHO,"Pilot the Dash 8-300 Professional Add-On, a highly accurate simulation of this popular short-haul commuter aircraft. This package features two distinct versions of the Dash 8-300, presented in a total of 17 unique liveries. Developed by acclaimed aircraft specialists PSS, this add-on offers a superb and detailed flight experience.

Enhance your simulation with included scenery for three European airports, comprehensive tutorials, guided tutorial flights, and useful utilities, all integrated into one fantastic package."
B00006969T,"Experience the legendary NES classics, Castlevania and Contra, with the Konami Collector's Series. This compilation brings the iconic gameplay and thrilling action of these groundbreaking titles to a new generation of computer gamers."
B07DL353F8,"Embark on an epic adventure celebrating the 10th anniversary of *Tales of Vesperia*, one of the most beloved entries in the *Tales of* series. In a civilization reliant on ancient blastia technology, a power struggle ignites between the people and the empire that controls it. The destinies of two friends on separate journeys become intertwined as an epic threat endangers all existence. This remastered edition features beautifully rendered full HD graphics, never-before-seen characters, an expanded story, and more.

ESRB Content Description: Alcohol reference, blood, fantasy violence, mild language, simulated gambling, suggestive themes."
B00BJH85SW,"Experience high-velocity action with Turbo: Super Stunt Squad, a racing game featuring the film's super-charged crew. Choose from characters like Turbo, Whiplash, Smoove Move, Skidmark, and Burn, each with unique skills. Master jumps, drifts, grinds, and flips to earn power-ups, gain respect, and discover shortcuts. Utilize the environment and perform signature ""Turbo-ized"" stunts across larger-than-life levels inspired by the movie, including the Dos Bros Taco Stand and Starlight Plaza, all from a snail's perspective. Customize your character's shells and abilities by designing, upgrading, and unlocking new options."
B00Z9TLVK0,"Building on the success of NBA 2K16, the NBA 2K franchise solidifies its position as the most authentic sports video game with NBA 2K17. Praised by GamesRadar as the standard to which all sports video games should aspire, NBA 2K17 elevates gameplay and further bridges the gap between the virtual and real worlds of basketball."
B009C9E8JY,"Upgrade your PS3 controller with this set of four replacement bullet buttons. Crafted from genuine 9mm Luger bullet casings, these buttons replace the original Cross, Square, Triangle, and Circle buttons, offering a unique and durable aesthetic. Each button is pre-mounted on a custom plastic holder for a perfect, direct fit into your PS3 controller. The casings are treated with a clear coat for a lasting, ultra-shiny finish and to prevent metallic odors from extended use. The set includes silver-colored nickel casings with bronze-colored brass primers."
B07J1TD61J,"Experience gaming's first certified Hi-Res Audio system with the Arctis Pro + GameDAC. Hear high-fidelity 96 kHz/24-bit audio in its purest form, without down-sampling, thanks to the legendary ESS Sabre DAC and amp for unsurpassed audio quality.

Designed for comfort and durability, the Arctis Pro features luxury materials like polished steel and aluminum alloy. Enjoy the exclusive Arctis ski goggle headband and AirWeave performance fabric ear cushions for a perfect fit. The studio-quality ClearCast microphone provides unparalleled voice clarity and effective background noise cancellation.

Ensure the latest firmware is installed for optimal performance. Set contains: SteelSeries Arctis 1 Wired Gaming Headset."
B001EYUX4Y,"Experience Warhammer 40,000: Dawn of War, a revolutionary real-time strategy game set in the grim 41st Millennium. This Game of the Year Edition includes four new maps, four previously online-exclusive maps, and new online features like Observer Mode, a Friends list, and Arranged Teams.

Command iconic factions—Space Marines, Chaos Space Marines, Orks, or Eldar—each with distinct units, abilities, and technology. Engage in visceral, cinematic combat, both melee and ranged, brought to life by Relic Entertainment's advanced 3D engine with impressive zoom capabilities. Ten thousand years after the fall of mankind's Golden Age, galaxies burn as hardened forces collide with the singular goal of total annihilation. Lead your chosen race to victory in epic battles for universal dominance."
B002WH4ZJG,"Elevate your Nintendo Wii Fit and Wii Fit Plus experience with the Thrustmaster Motion Plus Elite Fitness Pack. This comprehensive 9-piece accessory set is designed for optimal performance with games like EA Active, U Shape, and My Fitness Coach.

The pack includes:
*   A generous 70x20 inch woven foam floor mat for comfort and stability.
*   Flexible ankle or wrist weights to enhance your workouts.
*   A stepper attachment specifically designed for the Wii Balance Board.
*   A pedometer to track your steps during gameplay or independent training.
*   An armband for your Wiimote (with or without MotionPlus), allowing menu navigation without disrupting your routine.
*   A leg band for your Nunchuck controller.
*   A lanyard for convenient MP3 player access.
*   A stylish, trendy sport-designed carry bag with two internal pockets. This bag is perfect for safely storing, protecting, and transporting your Wii Balance Board, one game, and all Elite Fitness Pack accessories.

Enjoy peace of mind with a 2-year warranty."
B0001ZNU56,"Experience the wacky underwater world of SpongeBob SquarePants on your Game Boy Advance with this collection of four exciting episodes.

*   **Hall Monitor:** SpongeBob's enthusiasm as the new Hall Monitor at Mrs. Puff's Boating School leads him to extend his authority across Bikini Bottom.
*   **Jellyfish Jam:** A playful jellyfish brought home by SpongeBob quickly multiplies, turning his house into a chaotic jellyfish party.
*   **Jellyfishing:** SpongeBob and Patrick involve an injured Squidward in their favorite pastime, jellyfishing, with unexpected and hazardous results.
*   **Plankton:** When the villainous Plankton hijacks SpongeBob's brain, SpongeBob must battle his own body to protect the secret Krabby Patty formula."
B001ECIV54,"In ""Scooby-Doo! Who's Watching Who?"", the Mystery, Inc. gang faces their toughest case yet, pitting them against a new rival team, GSI (Ghost Scene Investigators). This animated adventure sees Scooby and his friends competing cross-country to unmask a series of classic ghosts. It's a thrilling race where the competition is just as formidable as the mysteries they're trying to solve."
B08TBXXCZW,"Protect your device with these high-quality vinyl skins. Not only do they shield your machine from dust and scratches, but they also maintain its pristine appearance. These decals are easy to apply and remove, leaving no residue behind."
B0725ZD6QD,"Experience the return of PES with ""Where Legends Are Made,"" featuring new features, modes, and an unparalleled gameplay experience. This edition introduces the most significant changes to the award-winning series in a decade, setting a new standard for soccer games and raising expectations for the future of the franchise. Every aspect of PES 2018 has been refined, offering new ways to play with a host of gameplay improvements. Please note that DLC, trials, and subscriptions may or may not be included and are not guaranteed to function."
B014BNPNVM,"Protect your Nintendo 3DS XL with this four-piece vinyl skin decal sticker. The set includes one piece for the front, one for the back, and two for the inside of your console. This water and UV protected skin guards against scratches. It features a gloss laminate finish and is designed for the older version of the 3DS XL. Crafted from air-release vinyl, the skin ensures a bubble-free application by allowing air to disperse. It is also removable and will not leave any sticky residue on your device."
B07B3RPWKK,"This mechanical keyboard features a USB interface for PC compatibility with Windows operating systems. It offers convenient multimedia and volume controls, along with programmable G-Key hotkeys. The layout is standard QWERTY for familiar typing."
B00K3T7D4E,"Enhance your gaming device with this official MLB skin. Utilizing state-of-the-art digital presses, it delivers vibrant, photo-quality graphics. Crafted from durable, automotive-grade premium vinyl, this skin ensures easy application and residue-free removal. Engineered for a perfect fit to your device's unique contours, its ultra-low profile design won't interfere with docks, chargers, or other accessories. Please note: this product is a vinyl skin, not a rubber, silicone, gel, plastic, leather, or hard case."
B08928XH3Y,"Securely mount your Nintendo Switch dock with this PVC adhesive wall mount. It firmly holds the base unit in place and features PVC tape nails to prevent the dock from falling.

**Dimensions:** 7.12” (L) x 3” (W) x 2.5” (H)

**Material:** PVC

**Important:** Ensure you are purchasing an authentic TXesign branded product by buying ONLY from TXesign."
B00004SVXD,"Embark on a mission to save the world as the pilot of the top-secret, billion-dollar Tiger-Heli. The hostile nation of Cantun is bent on global domination, and your objective is to infiltrate their territory and destroy all military assets. Engage in thrilling aerial combat against a variety of enemy vehicles, including tanks, ships, and bomber planes. Utilize the Tiger-Heli's exceptional maneuverability and unlimited firepower to your advantage. Collect vital power-ups along the way, such as additional choppers and devastating weapons, to enhance your combat capabilities. The fate of humanity rests on your shoulders. Pilot the Tiger-Heli to victory and thwart Cantun's ambitions."
B0013953N6,"This is a compact and straightforward remote control designed for 360 and PS2 systems. It requires no programming and features a simplified button layout with only 13 buttons in total, eliminating confusion."
B004BLJPZU,"Experience unparalleled precision and perform death-defying stunts with the revolutionary Rider Reflex control system in MX vs. ATV: Reflex. This highly anticipated return of the best-selling off-road racing franchise features trademark over-the-top racing across multiple vehicle types, including motocross and supercross. Battle for position and dig up the track to force the competition to carve new race lines.

Reflex boasts the all-new Rhythm Racing 2.0 physics engine and real-time terrain deformation, creating dynamic and challenging race environments. Compete in 12-player multiplayer races and master various off-road event types. This installment solidifies its position as a leading off-road racer for the Xbox 360."
B00OLOQGAY,"The ProFit Comfort system delivers a lightweight headset designed to enhance, not hinder, your gaming concentration."
B0011UH182,"Ghost Recon: Advanced Warfighter immerses you in the future of military science. Set in 2013, you command the Ghosts, an elite U.S. Army Special Forces squad, tasked with infiltrating Mexico City during an insurgence. Your mission is to rescue the U.S. President, recover a missing nuclear football, and prevent rebels from obtaining the secret U.S. device, Guardrail IX. Experience revolutionary gameplay with the Cross-com battlefield device, stunning 3D environments, and top-notch multiplayer options in Tom Clancy’s award-winning Ghost Recon: Advanced Warfighter."
B072KHS2P7,"Charge your Nintendo Switch on the go with Nyko's Travel Charger EX. This 6-foot USB Type-C charger plugs directly into your car's 12V power outlet, allowing you to play and charge during long journeys. It supports multiple charging outputs, including 5V 3A, 9V 2A, 12V 2A, and 20V 1.5A, ensuring efficient power delivery for your device."
